Episode 10/1000 | Score: 9.00 | Running reward: 11.12
Episode 20/1000 | Score: 10.00 | Running reward: 10.76
Episode 30/1000 | Score: 10.00 | Running reward: 10.33
Episode 40/1000 | Score: 10.00 | Running reward: 10.20
Episode 50/1000 | Score: 9.00 | Running reward: 10.11
Episode 60/1000 | Score: 10.00 | Running reward: 10.17
Episode 70/1000 | Score: 9.00 | Running reward: 10.08
Episode 80/1000 | Score: 9.00 | Running reward: 12.30
Episode 90/1000 | Score: 8.00 | Running reward: 11.11
Episode 100/1000 | Score: 8.00 | Running reward: 10.63
Episode 110/1000 | Score: 15.00 | Running reward: 10.72
Episode 120/1000 | Score: 16.00 | Running reward: 14.36
Episode 130/1000 | Score: 15.00 | Running reward: 16.54
Episode 140/1000 | Score: 18.00 | Running reward: 18.64
Episode 150/1000 | Score: 34.00 | Running reward: 19.62
Episode 160/1000 | Score: 69.00 | Running reward: 30.63
Episode 170/1000 | Score: 43.00 | Running reward: 43.80
Episode 180/1000 | Score: 42.00 | Running reward: 44.49
Episode 190/1000 | Score: 82.00 | Running reward: 53.27
Episode 200/1000 | Score: 124.00 | Running reward: 68.30
Episode 210/1000 | Score: 54.00 | Running reward: 80.08
Episode 220/1000 | Score: 39.00 | Running reward: 66.77
Episode 230/1000 | Score: 57.00 | Running reward: 77.12
Episode 240/1000 | Score: 90.00 | Running reward: 71.93
Episode 250/1000 | Score: 146.00 | Running reward: 76.56
Episode 260/1000 | Score: 64.00 | Running reward: 86.65
Episode 270/1000 | Score: 52.00 | Running reward: 80.62
Episode 280/1000 | Score: 290.00 | Running reward: 122.74
Episode 290/1000 | Score: 16.00 | Running reward: 153.51
Episode 300/1000 | Score: 12.00 | Running reward: 103.67
Episode 310/1000 | Score: 10.00 | Running reward: 65.95
Episode 320/1000 | Score: 10.00 | Running reward: 43.15
Episode 330/1000 | Score: 9.00 | Running reward: 29.52
Episode 340/1000 | Score: 10.00 | Running reward: 21.47
Episode 350/1000 | Score: 10.00 | Running reward: 16.67
Episode 360/1000 | Score: 10.00 | Running reward: 13.80
Episode 370/1000 | Score: 10.00 | Running reward: 12.21
Episode 380/1000 | Score: 9.00 | Running reward: 11.07
Episode 390/1000 | Score: 10.00 | Running reward: 10.67
Episode 400/1000 | Score: 163.00 | Running reward: 22.86
Episode 410/1000 | Score: 10.00 | Running reward: 17.71
Episode 420/1000 | Score: 8.00 | Running reward: 14.52
Episode 430/1000 | Score: 82.00 | Running reward: 28.24
Episode 440/1000 | Score: 36.00 | Running reward: 36.49
Episode 450/1000 | Score: 42.00 | Running reward: 38.75
Episode 460/1000 | Score: 42.00 | Running reward: 40.73
Episode 470/1000 | Score: 40.00 | Running reward: 38.90
Episode 480/1000 | Score: 40.00 | Running reward: 40.82
Episode 490/1000 | Score: 32.00 | Running reward: 38.05
