Episode 1/500 | Score: 38.00 | Epsilon: 0.9950
Episode 2/500 | Score: 26.00 | Epsilon: 0.9900
Episode 3/500 | Score: 26.00 | Epsilon: 0.9851
Episode 4/500 | Score: 20.00 | Epsilon: 0.9801
Episode 5/500 | Score: 14.00 | Epsilon: 0.9752
Episode 6/500 | Score: 15.00 | Epsilon: 0.9704
Episode 7/500 | Score: 38.00 | Epsilon: 0.9655
Episode 8/500 | Score: 16.00 | Epsilon: 0.9607
Episode 9/500 | Score: 18.00 | Epsilon: 0.9559
Episode 10/500 | Score: 29.00 | Epsilon: 0.9511
Episode 11/500 | Score: 23.00 | Epsilon: 0.9464
Episode 12/500 | Score: 11.00 | Epsilon: 0.9416
Episode 13/500 | Score: 44.00 | Epsilon: 0.9369
Episode 14/500 | Score: 26.00 | Epsilon: 0.9322
Episode 15/500 | Score: 11.00 | Epsilon: 0.9276
Episode 16/500 | Score: 27.00 | Epsilon: 0.9229
Episode 17/500 | Score: 30.00 | Epsilon: 0.9183
Episode 18/500 | Score: 15.00 | Epsilon: 0.9137
Episode 19/500 | Score: 13.00 | Epsilon: 0.9092
Episode 20/500 | Score: 64.00 | Epsilon: 0.9046
Episode 21/500 | Score: 18.00 | Epsilon: 0.9001
Episode 22/500 | Score: 18.00 | Epsilon: 0.8956
Episode 23/500 | Score: 22.00 | Epsilon: 0.8911
Episode 24/500 | Score: 33.00 | Epsilon: 0.8867
Episode 25/500 | Score: 37.00 | Epsilon: 0.8822
Episode 26/500 | Score: 13.00 | Epsilon: 0.8778
Episode 27/500 | Score: 16.00 | Epsilon: 0.8734
Episode 28/500 | Score: 12.00 | Epsilon: 0.8691
Episode 29/500 | Score: 14.00 | Epsilon: 0.8647
Episode 30/500 | Score: 76.00 | Epsilon: 0.8604
Episode 31/500 | Score: 11.00 | Epsilon: 0.8561
Episode 32/500 | Score: 17.00 | Epsilon: 0.8518
Episode 33/500 | Score: 11.00 | Epsilon: 0.8475
Episode 34/500 | Score: 30.00 | Epsilon: 0.8433
Episode 35/500 | Score: 39.00 | Epsilon: 0.8391
Episode 36/500 | Score: 25.00 | Epsilon: 0.8349
Episode 37/500 | Score: 18.00 | Epsilon: 0.8307
Episode 38/500 | Score: 25.00 | Epsilon: 0.8266
Episode 39/500 | Score: 13.00 | Epsilon: 0.8224
Episode 40/500 | Score: 11.00 | Epsilon: 0.8183
Episode 41/500 | Score: 12.00 | Epsilon: 0.8142
Episode 42/500 | Score: 40.00 | Epsilon: 0.8102
Episode 43/500 | Score: 49.00 | Epsilon: 0.8061
Episode 44/500 | Score: 65.00 | Epsilon: 0.8021
Episode 45/500 | Score: 13.00 | Epsilon: 0.7981
Episode 46/500 | Score: 50.00 | Epsilon: 0.7941
Episode 47/500 | Score: 20.00 | Epsilon: 0.7901
Episode 48/500 | Score: 37.00 | Epsilon: 0.7862
Episode 49/500 | Score: 12.00 | Epsilon: 0.7822
Episode 50/500 | Score: 11.00 | Epsilon: 0.7783
Episode 51/500 | Score: 17.00 | Epsilon: 0.7744
Episode 52/500 | Score: 13.00 | Epsilon: 0.7705
Episode 53/500 | Score: 45.00 | Epsilon: 0.7667
