Episode 10/1000 | Score: 32.00 | Running reward: 17.02
Episode 20/1000 | Score: 88.00 | Running reward: 34.11
Episode 30/1000 | Score: 20.00 | Running reward: 33.94
Episode 40/1000 | Score: 29.00 | Running reward: 29.34
Episode 50/1000 | Score: 80.00 | Running reward: 38.79
Episode 60/1000 | Score: 89.00 | Running reward: 63.19
Episode 70/1000 | Score: 264.00 | Running reward: 134.85
Episode 80/1000 | Score: 90.00 | Running reward: 192.96
Episode 90/1000 | Score: 128.00 | Running reward: 176.31
Episode 100/1000 | Score: 171.00 | Running reward: 139.17
Episode 110/1000 | Score: 231.00 | Running reward: 121.58
Episode 120/1000 | Score: 500.00 | Running reward: 254.95
Episode 130/1000 | Score: 500.00 | Running reward: 341.89
Episode 140/1000 | Score: 500.00 | Running reward: 386.55
Episode 150/1000 | Score: 168.00 | Running reward: 365.10
Episode 160/1000 | Score: 500.00 | Running reward: 361.22
Episode 170/1000 | Score: 500.00 | Running reward: 412.94
Episode 180/1000 | Score: 384.00 | Running reward: 404.01
Episode 190/1000 | Score: 500.00 | Running reward: 393.50
Episode 200/1000 | Score: 500.00 | Running reward: 436.24
Episode 210/1000 | Score: 130.00 | Running reward: 415.41
Episode 220/1000 | Score: 225.00 | Running reward: 318.25
Episode 230/1000 | Score: 288.00 | Running reward: 325.14
Episode 240/1000 | Score: 500.00 | Running reward: 380.23
Episode 250/1000 | Score: 500.00 | Running reward: 428.29
Episode 260/1000 | Score: 500.00 | Running reward: 457.06
Episode 270/1000 | Score: 500.00 | Running reward: 474.29
Solved! Running reward is 475.58, above threshold 475.0!
