Episode 10/1000 | Score: 11.00 | Running reward: 12.27
Episode 20/1000 | Score: 31.00 | Running reward: 13.84
Episode 30/1000 | Score: 11.00 | Running reward: 13.46
Episode 40/1000 | Score: 10.00 | Running reward: 12.95
Episode 50/1000 | Score: 14.00 | Running reward: 15.42
Episode 60/1000 | Score: 24.00 | Running reward: 18.28
Episode 70/1000 | Score: 18.00 | Running reward: 17.78
Episode 80/1000 | Score: 16.00 | Running reward: 22.82
Episode 90/1000 | Score: 12.00 | Running reward: 22.09
Episode 100/1000 | Score: 39.00 | Running reward: 25.28
Episode 110/1000 | Score: 16.00 | Running reward: 33.08
Episode 120/1000 | Score: 36.00 | Running reward: 35.47
Episode 130/1000 | Score: 38.00 | Running reward: 36.65
Episode 140/1000 | Score: 36.00 | Running reward: 39.09
Episode 150/1000 | Score: 20.00 | Running reward: 38.36
Episode 160/1000 | Score: 45.00 | Running reward: 42.76
Episode 170/1000 | Score: 106.00 | Running reward: 49.47
Episode 180/1000 | Score: 33.00 | Running reward: 45.96
Episode 190/1000 | Score: 102.00 | Running reward: 51.25
Episode 200/1000 | Score: 104.00 | Running reward: 62.43
Episode 210/1000 | Score: 22.00 | Running reward: 76.99
Episode 220/1000 | Score: 30.00 | Running reward: 57.71
Episode 230/1000 | Score: 123.00 | Running reward: 73.37
Episode 240/1000 | Score: 176.00 | Running reward: 105.52
Episode 250/1000 | Score: 58.00 | Running reward: 136.51
Episode 260/1000 | Score: 469.00 | Running reward: 129.99
Episode 270/1000 | Score: 127.00 | Running reward: 125.22
Episode 280/1000 | Score: 135.00 | Running reward: 152.84
Episode 290/1000 | Score: 500.00 | Running reward: 221.30
Episode 300/1000 | Score: 104.00 | Running reward: 279.16
Episode 310/1000 | Score: 94.00 | Running reward: 182.29
Episode 320/1000 | Score: 186.00 | Running reward: 150.03
Episode 330/1000 | Score: 110.00 | Running reward: 144.52
Episode 340/1000 | Score: 27.00 | Running reward: 118.58
Episode 350/1000 | Score: 50.00 | Running reward: 85.41
Episode 360/1000 | Score: 222.00 | Running reward: 97.60
Episode 370/1000 | Score: 500.00 | Running reward: 185.07
Episode 380/1000 | Score: 107.00 | Running reward: 179.69
